Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
10K12;Gretel-Bergmann-Gemeinschaftsschule;52;;;
10S07;Schule am Rosenain;23;;;
10Y01;Tagore-Gymnasium;10;;;Schlaufuchs eV 
10Y02;Otto-Nagel-Gymnasium;4;6;;Schlaufuchs eV 
10Y03;Wilhelm-von-Siemens-Gymansium;19;18;;Schlaufuchs eV 
10Y08;Sartre-Gymnasiums;57;59;;Schlaufuchs eV 
10Y11;Melanchton-Gymnasium;37;;;
11A07;Schul- und Leistungssportzentrum Berlin;5;;;
11G01;Sonnenuhr-Schule;20;24;;Studierende machen Schule 
11G03;Schule im Gutspark;15;16;;Intellego 
11G06;Adam-Ries-Schule;30;32;;Intellego 
11G07;Hermann-Gmeiner-Schule;17;;;
11G08;Robinson-Schule;16;;;
11G11;Bernhard-Grzimek-Schule;27;24;;tjfbg gGmbH 
11G12;Lew-Tolstoi-Schule;16;;;
11G14;Richard-Wagner-Schule;10;;;
11G16;Schule an der Victoriastadt;22;;;
11G17;Brodowin-Schule;54;8;;Intellego 
11G18;Grundschule am Wilhelmsberg;24;24;;Intellego 
11G21;Schule Am Faulen See;8;;;
11G22;Martin-Niemöller-Grundschule;39;;;ZGS Bildungs-GmbH (Schülerhilfe) 
11G23;Friedrichsfelder Schule;8;8;;Schlaufuchs eV 
11G25;Grundschule am Wäldchen;11;11;;Schlaufuchs eV 
11G26;Randow-Schule;32;32;;Schlaufuchs eV 
11G28;Feldmark-Schule;67;;;
11G31;Schmetterlings-Grundschule;32;;;ZGS Bildungs-GmbH (Schülerhilfe) 
11G32;Hans-Rosenthal-Grundschule;23;23;;Schlaufuchs eV 
11G34;34. Grundschule;9;;;
11G35;35. Schule;8;;;tjfbg gGmbH 
11K01;Alexander-Puschkin-Schule;9;;;
11K02;Mildred-Harnack-Schule;40;;;tjfbg gGmbH 
11K04;Gutenberg-Schule;24;20;;Studierende machen Schule 
11K05;Fritz-Reuter-Oberschule;49;;;
11K06;Schule am Rathaus;18;;;
11K07;Vincent-van-Gogh-Schule;12;;;
11K08;George-Orwell-Schule;8;;;
11K09;Philipp-Reis-Schule;73;;;
11K10;Grüner Campus Malchow - Grundstufe;44;96;;Schlaufuchs eV 
11K10;Grüner Campus Malchow - Sekundarstufe;62;;;Schlaufuchs eV 
11K11;Paul-Schmidt-Schule;66;64;;Intellego 
11K12;Paul-und-Charlotte-Kniese-Schule;31;;;
11S02;Schule am Fennpfuhl;1;;;
11S05;Schule am grünen Grund;15;;;
11S07;Carl-von-Linné-Schule;13;;;
11Y02;Johann-Gottfried-Herder-Gymnasium;8;8;;Studienkreis GmbH 
11Y05;Hans-und-Hilde-Coppi-Gymansium;21;;;Schlaufuchs eV 
11Y09;Barnim Gymnasium;38;;;Schlaufuchs eV 
11Y10;Manfred-von-Ardenne-Gymnasium;46;;;Schlaufuchs eV 
11Y11;Immanuel-Kant-Gymnasium;21;21;;Schlaufuchs eV 
12G01;Havelmüller-Grundschule;23;32;;Studienkreis GmbH 
12G02;Grundschule am Schäfersee;18;;;
12G03;Reginhard-Grundschule;19;11;;tjfbg gGmbH 
12G04;Till-Eulenspiegel-Grundschule;28;32;;Studienkreis GmbH 
12G05;Kolumbus-Grundschule;38;33;;Studierende machen Schule 
12G06;Hausotter - Grundschule;28;28;;Intellego 
12G07;Mark-Twain-Grundschule;20;;;Studierende machen Schule 
12G09;Grundschule an der Peckwisch;26;;;
12G10;Peter-Witte-Schule;7;;;
12G11;Ringelnatz-Grundschule;6;;;
12G12;Borsigwalder Grundschule;15;21;Borsigwalder Grundschule und Hermann-von Fallersleben- Grundschule ;Studienkreis GmbH 
12G13;Franz-Marc-Grundschule;18;15;Evtl. Alfred-Brehm-Schule;Lieblingskinder 
12G14;Alfred-Brehm-Schule;17;13;Evtl. Franz-Marc-Grundschule;Lieblingskinder 
12G15;Hoffmann-von-Fallersleben;7;;;Studienkreis GmbH 
12G19;Münchhausen-Grundschule;Gesamtliste mit 12G23;8;;Studienkreis GmbH 
12G20;Grundschule am Vierrutenberg;11;;;
12G21;Grundschule am Fließtal;13;;;
12G22;Gustav-Dreyer-Schule;9;;;
12G23;Victor-Gollancz-Grundschule;8;8;Evtl. Münchhausen Grundschule/ Viktor-Gollancz- Grundschule;Studienkreis GmbH 
12G24;Renée-Sintenis-Grundschule;2;;;
12G26;Märkische Grundschule;24;24;;Intellego 
12G29;Hermann-Schulz-Grundschule;24;;;
12G30;Reineke-Fuchs-Grundschule;17;;;
12G32;Charlie-Chaplin-Grundschule;14;16;;Intellego 
12G33;Lauterbach-Schule;37;34;;tjfbg gGmbH 
12K01;Julius-Leber-Schule;16;;;
12K02;Bettina-von-Arnim-Schule;79;94;;Intellego 
12K03;Max-Beckmann-Oberschule;46;;;
12K05;Gustav-Freytag-Schule;9;;;
12K06;Benjamin-Franklin-Schule;2;;;
12K07;Jean-Krämer-Schule;25;73;Evtl. Albrecht-Haushofer-Schule;Intellego 
12K09;Carl-Benz-Schule (Integrierte Sekundarschule);15;;;
12K10;Carl-Bosch-Schule;32;32;;tjfbg gGmbH 
12K11;Albrecht-Haushofer-Schule;28;16;;Intellego 
12K12;Campus Hannah Höch;12;;;
12S05;Wiesengrund-Schule;1;;;
12Y01;Friedrich-Engels-Gymnasium;23;;;
12Y02;Europäisches Gymnasium Bertha-von-Suttner;44;;;
12Y03;Humboldt-Gymnasium;15;;;
12Y04;Gabriele-von-Bülow-Gymnasium;65;;;
12Y05;Georg-Herwegh-Gymnasium;89;78;;Lernwerk GmbH 
12Y06;Schulfarm Insel Scharfenberg;13;;;
12Y07;Romain-Roland-Gymnasium;39;;;
12Y08;Thomas-Mann-Gymnasium;48;48;;Studienkreis GmbH 
