Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
03G21;Grundschule unter den Bäumen;23;8;;tjfbg gGmbH
03G22;Grundschule am Wasserturm;23;;;
03G23;Grundschule Alt-Karow;8;;;
03G25;Carl-Humann-Grundschule;4;4;;Studienkreis GmbH
03G26;Arnold-Zweig-Grundschule;5;;;
03G27;Elizabeth-Shaw-Grundschule;12;7;;Studienkreis GmbH
03G28;Hasengrund-Schule;5;;;
03G29;Grundschule Am Sandhaus;21;;;
03G32;Grundschule an den Buchen;13;16;;tjfbg gGmbH
03G33;Jeanne-Barez-Schule;12;4;;tjfbg gGmbH
03G34;Mendel-Grundschule;24;24;;Intellego
03G35;Platanen-Grundschule;2;10;Evtl. verwechselt mit 02G35 Rosa Parks Grundschule;tjfbg gGmbH
03G36;Elisabeth-Christinen-Grundschule;31;78;;tjfbg gGmbH
03G37;Klecks Grundschule;31;30;;Studierende machen Schule
03G38;Grundschule im Blumenviertel;33;14;;tjfbg gGmbH
03G39;Grundschule Wolkenstein;17;;;
03G40;Schule am Birkenhof;10;;;
03G41;Trelleborg Grundschule;20;19;;Lernwerk GmbH
03G43;Grundschule Wilhelmsruh;11;;;
03G45;Grundschule im Hofgarten;8;8;;Intellego
03G46;Grundschule am Eliashof;18;;;
03G47/03S09;Schule an der Strauchwiese;4;;;
03K01;Kurt-Schwitters-Schule;13;24;;tjfbg gGmbH
03K02;Kurt-Tucholsky-Schule;Gesamtliste mit 03K05;12;;Lernwerk GmbH
03K03;Konrad-Duden-Schule;13;13;;Intellego
03K04;Gustave-Eiffel-Schule;12;12;;tjfbg gGmbH
03K05;Heinz-Brandt-Schule;70;38;;Lernwerk GmbH
03K07;Tesla-Schule - Sekundarstufe;18;38;;SOCIUS – Die Bildungspartner gGmbH
03K07;Tesla-Schule - Grundstufe;16;;;tjfbg gGmbH
03K08;Hagenbeck-Schule;47;24;;tjfbg gGmbH
03K09;Janusz-Korczak-Schule;     Gesamtliste mit 03K05;20;;Lernwerk GmbH
03K10;Hufeland-Schule;32;32;;djo Bildungswerk-Berlin gGmbH
03K11;Wilhelm-von-Humboldt-Gemeinschaftsschule;10;16;;tjfbg gGmbH
03Y03;Käthe-Kollwitz-Gymnasium;3;3;;Schlaufuchs eV
03Y04;Heinrich-Schliemann-Gymnasium;61;;;Schlaufuchs eV
03Y08;Carl-von-Ossietzky-Gymnasium;26;26;;Studienkreis GmbH
03Y10;Rosa-Luxemburg-Gymnasium;     Gesamtliste mit 03Y08;;Evtl. Studienkreis GmbH;
03Y13;Felix-Mendelssohn-Bartholdy-Gymnasium;38;;;
03Y14;Primo-Levi-Gymnasium;20;;;
03Y15;Max-Delbrück-Gymnasium;18;18;;Studienkreis GmbH
03Y16;Robert-Havemann-Gymnasium;52;;;
03Y17;Gymnasium am Europasportpark;24;;;
04A08;Schule im Olympiapark Poelchau Oberschule;3;;;
04G01;Eichendorff-Grundschule;9;9;;Lehrreich Wilmersdorf
04G02;Lietzensee-Grundschule;11;;;
04G04;Joan-Miró-Grundschule;11;;;
04G06;Wald Grundschule;13;13;;tjfbg gGmbH
04G08;Mierendorff-Schule;42;40;;Intellego
04G09;Erwin-von-Witzleben-GS;11;;;tjfbg gGmbH
04G11 A;Helmuth-James-von-Moltke Grundschule;32;41;;Lehrreich Wilmersdorf + ZGS Bildungs-GmbH (Schülerhilfe)
04G11 B;Helmuth-James-von-Moltke Grundschule;69;;;
04G13;Nehring-Grundschule;25;;;
04G14;Reinhold-Otto-Grundschule;12;;;
04G15;Charles-Dickens-GS;23;24;;Intellego
04G18;Ernst-Habermann-Grundschule;6;6;;tjfbg gGmbH
04G19;Grundschule am Rüdesheimer Platz;16;34;;Lehrreich Wilmersdorf
04G20;Katharina-Heinroth-Grundschule;12;;;
04G21;Halensee-Grundschule;13;18;;Lehrreich Wilmersdorf
04G22;Grunewald-Grundschule;8;9;;Lehrreich Wilmersdorf
04G23;Alt-Schmagendorf-Grundschule;4;;;
04G25;Cecilien-Schule;9;11;;Studienkreis GmbH
04G26;Birger-Forell-GS;7;7;;tjfbg gGmbH
04G27;Judith-Kerr-Grundschule;7;;;
04K02;Friedensburg-Schule;81;52;;Lehrreich Wilmersdorf
04K03;Robert-Jungk-Schule;61;;;
04K04;Nelson-Mandela-Schule;30;36;;ZGS Bildungs-GmbH (Schülerhilfe)
04K05;Paula-Fürst-Schule;20;16;;Lehrreich Wilmersdorf
04K06;Schule am Schloss (Integrierte Sekundarschule);53;;;Lehrreich Wilmersdorf
04K07;Integrierte Sekundarschule Wilmersdorf;11;5;;Lehrreich Wilmersdorf
04K08 ;Peter-Ustinov-Schule ;;8;;Lehrreich Wilmersdorf
04K09;Otto-von-Guericke- Schule;10;10;;
04S04 ;Reinfelder Schule ;;;;Lehrreich Wilmersdorf
04S07;Comenius-Schule;6;;;Lehrreich Wilmersdorf
04Y01;Schiller-Gymnasium;38;36;;Lehrreich Wilmersdorf
04Y02;Wald-Gymnasium;33;28;;Studierende machen Schule
04Y03;Sophie-Charlotte-Gymnasium;31;;;
04Y04;Gottfried-Keller-Gymnasium;28;;;
04Y05;Herder-Gymnasium;28;27;;Studierende machen Schule
04Y06;Heinz-Berggruen-Gymnasium;4;;;
04Y07;Friedrich-Ebert-Gymnasium;54;;;Lehrreich Wilmersdorf
04Y08;Hildegard-Wegscheider-Gymnasium;34;33;;Studierende machen Schule
04Y09;Walther-Rathenau-Gymnasium;20;19;;Lehrreich Wilmersdorf
05G01;Ernst-Ludwig-Heim-Grundschule;42;42;;Studierende machen Schule 
05G02;Grundschule am Eichenwald;13;13;;
05G04;Klosterfeld-Grundschule;30;30;;Spandauer Jugend e.V. 
05G05;Christoph-Földerich-Grundschule;6;;;
05G06;Siegerland-Grundschule;55;64;;Intellego 
05G08;Konkordia-Grundschule;20;20;;tjfbg gGmbH 
05G10;Grundschule am Birkenhain;23;;;
05G12;Grundschule am Weinmeisterhorn;11;11;;Studierende machen Schule 
05G13;Bernd-Ryke-Grundschule;32;32;;Sozial-kulturelle Netzwerke casa e.V. 
05G14;Linden-Grundschule;15;16;;Intellego 
05G17;Astrid-Lindgren-Grundschule;24;32;;Intellego 
